studyid,class,n,mean_change,sd_change,source
Dierick 1996,SNRIs,153,-16.3,8.60639297266863,baseline_followup
Dierick 1996,SSRIs,161,-14.2,7.69781787261819,baseline_followup
Doogan 1994,Placebo,90,-66.7,5.47726438379317,baseline_followup
Doogan 1994,SSRIs,83,-71.2,5.47726438379317,baseline_followup
Duan 2009,Acupuncture + AD,46,-13.7,4.64865571966778,baseline_followup
Duan 2009,SSRIs,44,-12.4,4.85695377783236,baseline_followup
Dube 2010,Placebo,122,-13,8.84,change_from_baseline
Dube 2010,SSRIs,54,-15,8.82,change_from_baseline
Dubey 2012,SNRIs,30,-20.27,7.04,change_from_baseline
Dubey 2012,TCAs,30,-25.530000000000005,7.82,change_from_baseline
