study,treatment,mean,std.dev,sampleSize
Moller 1993,trt_046,-2.917110028467156,1,74
Moller 1998,trt_039,-1.4547207806475324,1,62
Moller 1998,trt_046,-1.7649185941679622,1,59
Moller 2000,trt_039,-1.9303552392782923,1,100
Moller 2000,trt_046,-2.140176460938976,1,105
Montgomery 1992,trt_031,-0.9451108935411715,1,64
Montgomery 1992,trt_039,-2.2213685963723364,1,129
Mowla 2016,trt_038,-2.638650120160442,1,26
Mowla 2016,trt_039,-2.8287464191397427,1,28
Mullin 1996,trt_026,-1.6394171996973044,1,71
Mullin 1996,trt_046,-1.7327173655337362,1,71
Mulsant 1999,trt_039,-2.891878173318292,1,29
Mulsant 1999,trt_046,-3.480490544878652,1,27
Mundt 2012,trt_031,-1.7413617558510557,1,50
Mundt 2012,trt_039,-2.1807707970471166,1,55
Munizza 2006,trt_039,-1.322161355016004,1,59
Munizza 2006,trt_047,-1.4831201286701263,1,62
Murphy 1984,trt_010,-2.3433433530297734,1,19
Murphy 1984,trt_011,-2.594207496217193,1,18
Murphy 1984,trt_012,-3.0317612343347853,1,17
Murphy 1984,trt_046,-2.467803082983222,1,16
Murri 2015,trt_017,-4.556060816134582,1,79
Murri 2015,trt_039,-1.6311822675049739,1,42
Mynors-Wallis 1995,trt_031,-1.0652056160763186,1,26
Mynors-Wallis 1995,trt_033,-1.9851559208695033,1,29
Mynors-Wallis 1995,trt_046,-1.7753426934605312,1,27
NCT01020799,trt_031,-1.0943546722873192,1,94
NCT01020799,trt_039,-1.1182488791058196,1,49
NKD20006 (NCT00048204),trt_031,-1.3885448236177809,1,118
NKD20006 (NCT00048204),trt_039,-1.4140227102896668,1,117
Naeem 2014,trt_040,-1.9525014730771864,1,94
Naeem 2014,trt_048,-0.8326844517535059,1,89
Naeem 2015,trt_010,-2.955556756717411,1,69
Naeem 2015,trt_028,-2.033639970218402,1,68
Nemeroff 2007,trt_031,-4.331995809827351,1,102
Nemeroff 2007,trt_038,-4.331995809827351,1,102
Nemeroff 2007,trt_039,-4.33199580982735,1,104
